,cid,latitude,longitude,shortname,sid,year
32,DE311,31.88711111111111,99.03377777777777,Pedicularis-kansuensis,65.0,2018
33,DE320,31.93252777777778,98.83319444444444,Pedicularis-kansuensis,66.0,2018
34,DE323,31.93252777777778,98.83319444444444,Pedicularis-kansuensis,66.0,2018
35,DE324,31.87925,98.59138888888889,Pedicularis-kansuensis,67.0,2018
36,DE329,31.558416666666666,98.67919444444445,Pedicularis-kansuensis,68.0,2018
37,DE330,31.46325,98.82013888888889,Pedicularis-kansuensis,69.0,2018
38,DE336,31.12236111111111,98.89002777777779,Pedicularis-kansuensis,70.0,2018
39,DE349,31.044305555555557,98.90880555555556,Pedicularis-kansuensis,71.0,2018
40,DE366,30.720027777777776,99.09127777777778,Pedicularis-kansuensis,74.0,2018
41,DE373,30.597694444444443,99.1883888888889,Pedicularis-kansuensis,75.0,2018
42,DE379,30.260305555555554,99.44338888888889,Pedicularis-kansuensis,77.0,2018
43,DE386,30.28488888888889,99.39930555555556,Pedicularis-kansuensis,79.0,2018
44,DE388,30.297027777777778,99.671,Pedicularis-kansuensis,80.0,2018
45,DE404,30.227277777777775,100.24769444444445,Pedicularis-kansuensis,81.0,2018
46,DE417,29.820833333333333,100.34588888888888,Pedicularis-kansuensis,83.0,2018
47,DE420,29.141805555555557,100.15661111111112,Pedicularis-kansuensis,84.0,2018
48,DE438,28.74638888888889,100.26916666666666,Pedicularis-kansuensis,86.0,2018
49,DE448,28.955555555555556,99.75330555555556,Pedicularis-kansuensis,92.0,2018
50,DE500,28.290277777777778,101.15494444444445,Pedicularis-kansuensis,103.0,2019
51,DE507,29.844166666666666,102.04519444444445,Pedicularis-kansuensis,106.0,2019
52,DE513,29.88138888888889,102.02,Pedicularis-kansuensis,107.0,2019
53,DE514,29.903527777777775,101.99961111111111,Pedicularis-kansuensis,108.0,2019
54,DE517,30.050833333333333,101.96263888888889,Pedicularis-kansuensis,109.0,2019
55,DE521,30.14461111111111,101.85930555555555,Pedicularis-kansuensis,110.0,2019
56,DE525,30.19263888888889,101.8775,Pedicularis-kansuensis,112.0,2019
57,DE527,30.012888888888888,101.86272222222222,Pedicularis-kansuensis,113.0,2019
58,DE528,30.012888888888888,101.86272222222222,Pedicularis-kansuensis,113.0,2019
59,DE538,30.040277777777778,101.83777777777777,Pedicularis-kansuensis,114.0,2019
60,DE557,30.74063888888889,101.33436111111111,Pedicularis-kansuensis,36.0,2019
61,DE584,31.72472222222222,100.74266666666666,Pedicularis-kansuensis,121.0,2019
62,DE589,31.42361111111111,100.62083333333332,Pedicularis-kansuensis,122.0,2019
63,DE592,31.42361111111111,100.62083333333332,Pedicularis-kansuensis,122.0,2019
64,DE600,31.98097222222222,100.96436111111112,Pedicularis-kansuensis,123.0,2019
65,DE605,32.13869444444445,101.03999999999999,Pedicularis-kansuensis,124.0,2019
66,DE637,32.32527777777778,101.08063888888888,Pedicularis-kansuensis,130.0,2019
67,DE648,31.51527777777778,100.69166666666668,Pedicularis-kansuensis,132.0,2019
68,DE654,31.695972222222224,100.705,Pedicularis-kansuensis,133.0,2019
69,DE662,32.32241666666667,102.45541666666666,Pedicularis-kansuensis,135.0,2019
70,DE676,32.535555555555554,102.3325,Pedicularis-kansuensis,136.0,2019
71,DE691,32.908055555555556,101.89055555555557,Pedicularis-kansuensis,138.0,2019
72,DE704,33.54694444444444,101.53597222222223,Pedicularis-kansuensis,140.0,2019
73,DE713,33.93944444444444,102.03019444444445,Pedicularis-kansuensis,141.0,2019
74,DE714,33.93944444444444,102.03019444444445,Pedicularis-kansuensis,141.0,2019
75,DE732,34.22083333333334,102.25527777777778,Pedicularis-kansuensis,143.0,2019
76,DE739,34.16555555555556,102.90527777777778,Pedicularis-kansuensis,145.0,2019
77,DE745,33.57777777777778,102.90222222222222,Pedicularis-kansuensis,148.0,2019
78,DE760,31.847777777777775,102.6388888888889,Pedicularis-kansuensis,152.0,2019
79,DE762,31.83138888888889,102.68333333333334,Pedicularis-kansuensis,153.0,2019
0,28607,29.112222222222222,100.03277777777778,Pedicularis-kansuensis,1498,1998
1,28992,29.001944444444444,99.74277777777777,Pedicularis-kansuensis,1887,1998
